DFSR Position,Players,FanDuel Points,Salary,Pts/$,Opp,Minutes,Team,Position,Points,Rebound,Assists,Steals,Blocks,Turnovers,Date,FD ID,FantasyDATA ID,Offensive Rebounds,Defensive Rebounds,FGM,FGA,FTM,FTA,3PTM,3PTA,TEAM,DK Salary,DK Points,DraftKings ID,Last Update,First Name,Last Name,"","","",Yahoo
SF,LeBron James,71.13370437,13700,5.192241195,BOS,45,CLE,SF,38.90413792,10.89935225,10.35755001,1.654093524,1.054573628,4.511982724,4/29/2018,"",20000571,1.441027471,8.064104542,13.96734024,27.3119343,10.98366275,8.219684267,2.438343003,6.358962645,CLE,20000,73.94516769,214152,5/27/2018 11:34:02,LeBron,James,"","","",""
SG,J.R. Smith,17.20916689,3700,4.651126186,BOS,32,CLE,SG,8.591464192,3.12274049,1.713443959,0.9352953484,0.1419910152,0.93161092,4/29/2018,"",20000575,0.4311111111,2.356775796,3.035033096,7.70039902,0.4074812953,0.2059770115,2.097578981,6.674262596,CLE,2800,17.8026125,253997,5/27/2018 11:34:02,J.R.,Smith,"","","",""
C,Tristan Thompson,22.49154585,4800,4.68573872,BOS,30,CLE,C,8.215424045,9.267933678,0.8700954696,0.4349171554,0.4861029114,0.9136020098,4/29/2018,"",20000577,3.169715936,5.222388993,3.372313964,6.217838062,2.420789692,1.472123255,0,0,CLE,7400,22.49072348,552806,5/27/2018 11:34:02,Tristan,Thompson,"","","",""
SG,Kyle Korver,17.05299354,4000,4.263248385,BOS,26,CLE,SG,10.58504517,2.568483489,1.035111462,0.4897172237,0.4416150989,0.9608959791,4/29/2018,"",20000604,0.09012507445,2.481758125,3.382118262,7.583315944,0.5563657747,0.5518999404,2.452138304,5.065856791,CLE,3700,17.95660253,58293,5/27/2018 11:34:02,Kyle,Korver,"","","",""
PF,Jeff Green,24.61913049,3700,6.653819051,BOS,34,CLE,PF,14.09382714,4.738113525,1.534630632,0.7302809619,0.5980580136,1.447395752,4/29/2018,"",20000632,0.9231962762,3.774505111,4.662164589,10.30843472,3.256486824,2.753762607,1.056952474,3.81875793,CLE,5200,24.7798713,266367,5/27/2018 11:34:02,Jeff,Green,"","","",""
SG,Jordan Clarkson,10.64678034,3000,3.54892678,BOS,14,CLE,SG,6.755289477,1.372739474,1.203798012,0.4362247155,0.04505511125,1.005333004,4/29/2018,"",20000708,0.267290146,0.9812742223,2.127824567,5.74138527,0.7765783093,0.6938277372,0.6119810459,1.672231959,CLE,2200,11.04279451,551975,5/27/2018 11:34:02,Jordan,Clarkson,"","","",""
PG,George Hill,23.89981007,5300,4.509398127,BOS,35,CLE,PG,11.85468574,3.259735064,3.42786335,1.116841403,0.5086283217,1.88476194,4/29/2018,"",20000743,0.5513126492,2.959298519,5.811264967,9.1162173,4.078618684,3.575178998,1.730337281,4.89127579,CLE,4900,24.24487671,277552,5/27/2018 11:34:02,George,Hill,"","","",""
PG,Jose Calderon,0.5823231269,2600,0.2239704334,BOS,1,CLE,PG,0.2617024844,0.09323513095,0.114991156,0.03029348367,0.002248529521,0.06137428823,4/29/2018,"",20000794,0.03188081937,0.1047380824,0.0910168612,0.186930346,0.02060759122,0.02234636872,0.0408786846,0.1133417517,CLE,1000,0.6055693567,296475,5/27/2018 11:34:02,Jose,Calderon,"","","",""
SG,Rodney Hood,0.7438983607,2400,0.3099576503,BOS,1,CLE,SG,0.4902785299,0.09834716959,0.05348824674,0.02722076685,0.007273193024,0.04811102236,4/29/2018,"",20000839,0.0106875,0.107361771,0.164958297,0.4174593831,0.0718185783,0.06149166667,0.06634440357,0.1660804623,CLE,1300,0.7715494723,603106,5/27/2018 11:34:02,Rodney,Hood,"","","",""
SF,Cedi Osman,0.668549661,2300,0.2906737656,BOS,1,CLE,SF,0.3291241574,0.1579711601,0.04364215106,0.03400681597,0.004646442537,0.03156289065,4/29/2018,"",20001421,0.02923030303,0.1148240616,0.0985595383,0.2513311747,0.01489853486,0.0078,0.04335553432,0.1019976617,CLE,1000,0.6752541729,842611,5/27/2018 11:34:02,Cedi,Osman,"","","",""
PF,Larry Nance Jr.,21.99608938,4800,4.582518621,BOS,21,CLE,PF,8.342651404,6.131742966,1.154189666,1.24348474,0.5499867875,0.8163526642,4/29/2018,"",20001457,1.634907975,3.411964692,2.738232209,5.999545375,1.18444463,0.8503067485,0.1040759886,0.5476464419,CLE,5900,20.96941933,603640,5/27/2018 11:34:02,Larry,Nance,Jr.,"","",""
SG,Marcus Smart,26.58872287,5700,4.664688223,CLE,31,BOS,SG,10.73775052,3.797994955,5.411614552,1.361301187,0.4428684881,2.236552445,4/29/2018,"",20000560,1.013955517,3.007634426,3.680575462,10.05443912,3.309771218,2.717400785,1.370726663,4.353516498,BOS,9200,26.7780925,697132,5/27/2018 11:34:02,Marcus,Smart,"","","",""
C,Al Horford,41.37531445,7400,5.59125871,CLE,39,BOS,C,17.46374992,9.146638505,6.118806781,0.6985970534,1.315804341,2.285816027,4/29/2018,"",20000603,1.683578104,7.252119556,7.901712677,14.1880854,2.621149241,1.95,1.800768846,4.783119054,BOS,11700,41.86153742,280587,5/27/2018 11:34:02,Al,Horford,"","","",""
C,Aron Baynes,21.11611312,4500,4.692469582,CLE,25,BOS,C,8.218534669,7.095045095,1.552282883,0.3192488263,0.817616358,1.355495544,4/29/2018,"",20000652,2.407932011,5.031463145,3.1415965,7.486371224,2.184391317,1.746931067,0.01830408612,0,BOS,4300,21.0209,296379,5/27/2018 11:34:02,Aron,Baynes,"","","",""
C,Greg Monroe,1.176282269,2500,0.4705129075,CLE,1,BOS,C,0.5337903781,0.3295567625,0.1102443975,0.03704460334,0.02075359193,0.09173740657,4/29/2018,"",20000818,0.09309623431,0.2077169137,0.2251499092,0.3970612854,0.1428189722,0.1018148536,0,0,BOS,1500,1.180830615,467468,5/27/2018 11:34:02,Greg,Monroe,"","","",""
PF,Marcus Morris,34.93460831,5600,6.238322912,CLE,35,BOS,PF,21.04412253,7.399602037,1.95377356,0.8719561848,0.2862880675,1.394429767,4/29/2018,"",20000847,1.070143885,4.3358217,6.42250016,17.37296379,2.905857421,2.056564748,2.242457638,5.700662966,BOS,6400,35.96478786,469089,5/27/2018 11:34:02,Marcus,Morris,"","","",""
PG,Terry Rozier,36.98296653,7900,4.681388168,CLE,37,BOS,PG,17.3261857,7.266810395,4.577546447,1.469874725,0.3321344387,1.33573881,4/29/2018,"",20001413,1.133799881,5.758769617,4.983098607,15.30283295,2.068456026,1.596575342,2.401769804,5.547222978,BOS,12700,37.41305219,786293,5/27/2018 11:34:02,Terry,Rozier,"","","",""
SG,Jaylen Brown,34.75068114,6700,5.186668826,CLE,38,BOS,SG,20.63478885,6.604498948,2.165616822,1.206927503,0.4420360915,2.004822465,4/29/2018,"",20001672,1.323383085,5.175755411,6.420147712,16.35169873,4.115479302,2.658014925,1.981413354,4.362408061,BOS,12300,35.4250604,883436,5/27/2018 11:34:02,Jaylen,Brown,"","","",""
PF,Guerschon Yabusele,0.6987301439,2000,0.3493650719,CLE,1,BOS,PF,0.2729056979,0.2275489905,0.07179301808,0.009408114686,0.01862886597,0.03903481168,4/29/2018,"",20001717,0.03212121212,0.1387052495,0.09302159391,0.2209236602,0.01406140373,0.006696969697,0.04356514815,0.09626653323,BOS,1000,0.7233705927,920087,5/27/2018 11:34:02,Guerschon,Yabusele,"","","",""
