D,Jaguars,JAX,NE,5.846875,1.328835227,4400,52,"",|23002:12554|
K,Josh Lambo,JAX,NE,5.934246575,1.290053603,4600,17139,"",|23002:32429|
QB,Blake Bortles,JAX,NE,15.5791958,2.049894184,7600,16245,"",|23002:34308|
RB,Leonard Fournette,JAX,NE,18.38963002,2.163485885,8500,18803,"",|23002:52922|
RB,TJ Yeldon,JAX,NE,4.130222503,0.7942735583,5200,16797,"",|23002:31061|
TE,Marcedes Lewis,JAX,NE,4.292513025,0.9538917833,4500,3061,"",|23002:6672|
WR,Allen Hurns,JAX,NE,6.058376885,1.143089978,5300,16253,"",|23002:25760|
WR,Dede Westbrook,JAX,NE,3.799426474,0.6908048134,5500,18992,"",|23002:60910|
WR,Keelan Cole,JAX,NE,5.47501694,0.9439684379,5800,19514,"",|23002:79998|
WR,Marqise Lee,JAX,NE,8.929130679,1.463791915,6100,16258,"",|23002:29593|
D,Vikings,MIN,PHI,7.85375,1.602806122,4900,67,"",|23002:12540|
K,Kai Forbath,MIN,PHI,6.480821917,1.322616718,4900,14740,"",|23002:15176|
QB,Case Keenum,MIN,PHI,13.86221447,1.732776809,8000,15694,"",|23002:22994|
RB,Jerick McKinnon,MIN,PHI,6.526243179,0.959741644,6800,16510,"",|23002:54608|
RB,Latavius Murray,MIN,PHI,13.26559612,1.922550163,6900,15071,"",|23002:34331|
TE,Kyle Rudolph,MIN,PHI,9.671241507,1.585449427,6100,13275,"",|23002:14237|
WR,Adam Thielen,MIN,PHI,12.58722849,1.700976823,7400,15534,"",|23002:39716|
WR,Jarius Wright,MIN,PHI,6.531059044,1.332869193,4900,14465,"",|23002:22054|
WR,Michael Floyd,MIN,PHI,0.9429297416,0.2095399426,4500,14478,"",|23002:21952|
WR,Stefon Diggs,MIN,PHI,13.71564739,2.04711155,6700,16906,"",|23002:25079|
D,Patriots,NE,JAX,7.415,1.425961538,5200,21,"",|23002:12541|
K,Stephen Gostkowski,NE,JAX,8.745205479,1.749041096,5000,2982,"",|23002:7900|
QB,Tom Brady,NE,JAX,17.41886223,1.935429137,9000,4314,"",|23002:6498|
RB,Brandon Bolden,NE,JAX,2.599385334,0.5776411854,4500,13741,"",|23002:22898|
RB,Dion Lewis,NE,JAX,22.74068213,2.953335342,7700,12708,"",|23002:14339|
RB,James White,NE,JAX,7.566649438,1.5763853,4800,16056,"",|23002:28930|
RB,Rex Burkhead,NE,JAX,5.448967269,0.9081612115,6000,14917,Questionable,|23002:27338|
TE,Dwayne Allen,NE,JAX,1.109048911,0.2464553135,4500,13987,"",|23002:22004|
TE,Rob Gronkowski,NE,JAX,17.20806491,2.048579156,8400,10974,"",|23002:11460|
WR,Brandin Cooks,NE,JAX,9.451767037,1.350252434,7000,16568,"",|23002:29501|
WR,Chris Hogan,NE,JAX,6.940829109,1.137840838,6100,14828,"",|23002:14704|
WR,Danny Amendola,NE,JAX,9.537860778,1.490290747,6400,9906,"",|23002:8117|
WR,Kenny Britt,NE,JAX,1.151695024,0.2559322277,4500,8532,"",|23002:6535|
WR,Phillip Dorsett,NE,JAX,0.1277502343,0.02838894096,4500,16790,"",|23002:25813|
D,Eagles,PHI,MIN,6.6925,1.394270833,4800,26,"",|23002:12545|
K,Jake Elliott,PHI,MIN,5.387671232,1.056406124,5100,19041,"",|23002:41235|
QB,Nick Foles,PHI,MIN,10.45246858,1.472178673,7100,13723,"",|23002:22027|
RB,Corey Clement,PHI,MIN,6.382813236,1.276562647,5000,19548,"",|23002:40758|
RB,Jay Ajayi,PHI,MIN,10.91154317,1.515492106,7200,16909,"",|23002:46882|
RB,LeGarrette Blount,PHI,MIN,5.301541356,0.9300949748,5700,12296,"",|23002:11779|
TE,Trey Burton,PHI,MIN,5.281096073,1.100228349,4800,15965,"",|23002:30297|
TE,Zach Ertz,PHI,MIN,10.21689655,1.45955665,7000,14856,"",|23002:29780|
WR,Alshon Jeffery,PHI,MIN,6.222922196,0.8524550953,7300,14187,"",|23002:21980|
WR,Nelson Agholor,PHI,MIN,7.077298768,1.141499801,6200,16781,"",|23002:29683|
WR,Torrey Smith,PHI,MIN,4.230598607,0.7834441865,5400,12830,"",|23002:14288|
