Position,Player,Points,Points/$,FanDuel Salary,Team,Opponent,FantasyData ID,DraftKings Salary,DK Proj. Points,Goals,Assists,Shots,(+/-),Block,PIM,PP G,PP A,Wins,Goals Against,Saves,Shutouts,Date,FanDuelID,DraftKingsID
C,Lars Eller,8.889467813,2.4,3700,WAS,PIT,30000012,3700,2.541912754,0.1957947531,0.3058179012,1.823020833,0.08157242063,0.7117504409,0.6071428571,0.07550705467,0.07550705467,0,0,0,0,5/7/2018,9990,392954
W,Brett Connolly,6.181516667,1.93,3200,WAS,PIT,30000213,3100,1.749890625,0.2715416667,0.09697916667,0.99928125,"",0.3166666667,0.2083333333,0.08333333333,0.08333333333,0,0,0,0,5/7/2018,12449,550756
G,Braden Holtby,9.297798515,1.12,8300,WAS,PIT,30000354,7600,2.324449629,0,0,0,0,0,0,0,0,0.4096883378,4,25.47692308,0,5/7/2018,9416,483697
D,Christian Djoos,3.858133333,1.1,3500,WAS,PIT,30000376,2700,1.156666667,0.02177777778,0.06533333333,1.188,0.138875,0.7333333333,0.1666666667,0,0,0,0,0,0,5/7/2018,"",682034
W,Alex Ovechkin,17.53975396,1.95,9000,WAS,PIT,30000378,7600,5.115410248,0.555207531,0.4816131793,3.952904365,0.3390019255,0.3293752674,0.350877193,0.3454214805,0.3454214805,0,0,0,0,5/7/2018,8718,268143
W,T.J. Oshie,10.52451514,1.88,5600,WAS,PIT,30000379,4900,3.101154902,0.2771094118,0.3377156863,2.018202353,0.06638823529,0.722745098,0.3137254902,0.2239215686,0.2239215686,0,0,0,0,5/7/2018,8635,300805
D,Matt Niskanen,9.11398093,2.28,4000,WAS,PIT,30000380,3900,2.655443895,0.08382703488,0.3650784884,1.980460465,0.6583068314,1.242151163,0.3720930233,0.0625,0.0625,0,0,0,0,5/7/2018,8328,300809
C,Evgeny Kuznetsov,11.70079632,1.7,6900,WAS,PIT,30000382,6200,3.393338147,0.2544351733,0.5802631579,2.119265083,-0.02573491656,0.303487377,0.701754386,0.2581300813,0.2581300813,0,0,0,0,5/7/2018,52475,550776
D,Dmitry Orlov,8.018601198,1.86,4300,WAS,PIT,30000384,3600,2.319439452,0.1106011981,0.2730958494,1.564852375,0.2668806162,1.239516474,0.2105263158,0.0392597347,0.0392597347,0,0,0,0,5/7/2018,13472,590259
W,Jakub Vrana,7.720235294,2.57,3000,WAS,PIT,30000390,3000,2.227687292,0.2077469478,0.1892563818,2.045652053,-0.07279411765,0.2508324084,0.1509433962,0.07769145394,0.07769145394,0,0,0,0,5/7/2018,58985,831078
W,Alex Chiasson,4.555437164,1.52,3000,WAS,PIT,30000475,2800,1.311416219,0.07663157895,0.1093684211,0.6773684211,-0.02764769066,1.048200859,0.4897959184,0,0,0,0,0,0,5/7/2018,21755,653479
G,Philipp Grubauer,9.857436524,1.31,7500,WAS,PIT,30000577,7400,2.464359131,0,0.01934210526,0,0,0,0,0,0,0.4096883378,4,26.17647059,0,5/7/2018,12697,555124
C,Jay Beagle,4.492334243,1.5,3000,WAS,PIT,30000581,2800,1.256822612,0.0944977258,0.152317089,0.8591578947,0.1911812865,0.4782326186,0.1754385965,0,0,0,0,0,0,5/7/2018,9014,447212
D,Madison Bowey,4.449885965,1.27,3500,WAS,PIT,30000583,2700,1.293878838,0.01934210526,0.1644078947,0.6040953947,0.04274259868,1.20997807,0.5,0,0,0,0,0,0,5/7/2018,42842,""
D,John Carlson,12.4972627,2.05,6100,WAS,PIT,30000587,5300,3.782614491,0.1368740032,0.5045135566,2.523834586,0.03823308271,1.651856915,0.4912280702,0.2751196172,0.2751196172,0,0,0,0,5/7/2018,9015,456839
W,Chandler Stephenson,4.208885167,1.28,3300,WAS,PIT,30000596,3000,1.203575957,0.05702990431,0.1378564593,0.4351973684,0.2308618421,1.078349282,0.1363636364,0,0,0,0,0,0,5/7/2018,42839,680757
W,Devante Smith-Pelly,6.27603575,1.9,3300,WAS,PIT,30000724,3500,1.803422294,0.09050645482,0.1799180735,1.089540715,0.1101092354,1.25459285,0.5849056604,0,0,0,0,0,0,5/7/2018,12645,554489
C,Nicklas Backstrom,11.18053333,1.57,7100,WAS,PIT,30001334,5500,3.297685554,0.2481634615,0.5641730769,1.732024038,0.05609546703,0.472985348,0.3928571429,0.3223443223,0.3223443223,0,0,0,0,5/7/2018,8714,329564
D,Brooks Orpik,6.530698774,1.87,3500,WAS,PIT,30001337,3000,1.977153088,0.05369863014,0.1624148041,0.8780331651,-0.09792934391,1.967435713,0.8947368421,0.06849315068,0.06849315068,0,0,0,0,5/7/2018,8607,172491
D,Michal Kempny,6.909198596,1.97,3500,WAS,PIT,30003117,3200,2.014187719,0.05054736842,0.2140526316,1.352652632,0.6846631579,1.51622807,0.4,0,0,0,0,0,0,5/7/2018,70579,902830
D,Jakub Jerabek,3.675052632,1.05,3500,WAS,PIT,30003598,2800,1.097680921,0.01934210526,0.07253289474,1.006282895,0.3610894737,0.7828947368,0.24,0,0,0,0,0,0,5/7/2018,"",""
W,Phil Kessel,5.995349483,0.84,7100,PIT,WAS,30000033,5000,2.022030384,0.1380615957,0.2280041339,1.240508061,-0.03030343117,0.1955353452,0.5762711864,0.4338156263,0.4338156263,0,0,0,0,5/7/2018,8682,329565
W,Conor Sheary,9.879245952,2.74,3600,PIT,WAS,30000410,3100,2.852158929,0.2591285714,0.2784130952,2.223846429,-0.05285,0.5786904762,0.1071428571,0.1166785714,0.1166785714,0,0,0,0,5/7/2018,58877,827794
D,Matt Hunwick,5.026801788,1.44,3500,PIT,WAS,30000439,2700,1.488837556,0.03903129657,0.1055290611,0.9383606557,-0.03998137109,1.383010432,0.4242424242,0,0,0,0,0,0,5/7/2018,8191,393187
D,Justin Schultz,9.222562271,1.96,4700,PIT,WAS,30000541,4100,2.780521978,0.09682234432,0.3668589744,1.733406593,0.3266666667,1.413003663,0.2857142857,0.1831318681,0.1831318681,0,0,0,0,5/7/2018,23228,660044
G,Matt Murray - Confirmed,18.99788651,2.18,8700,PIT,WAS,30000629,7800,4.749471626,0,0.009572368421,0,0,0,0,0,0,0.5903116622,2.458130027,27.18333333,0,5/7/2018,42869,680827
C,Sidney Crosby,15.74068765,1.69,9300,PIT,WAS,30000651,7800,4.631835984,0.3637927031,0.7320478759,2.871909806,-0.009529275809,0.4470614132,0.7457627119,0.4168765133,0.4168765133,0,0,0,0,5/7/2018,8594,296786
D,Brian Dumoulin,5.921789474,1.6,3700,PIT,WAS,30000653,3300,1.738881579,0.05105263158,0.1467763158,0.9856578947,-0.2321052632,1.598684211,0.2456140351,0,0,0,0,0,0,5/7/2018,21926,654336
W,Patric Hornqvist,9.074171053,1.35,6700,PIT,WAS,30000656,6100,2.747319079,0.2010197368,0.2488815789,2.139572368,0.06138157895,0.7105263158,0.693877551,0.2214473684,0.2214473684,0,0,0,0,5/7/2018,8765,386808
D,Kris Letang,11.90329957,1.92,6200,PIT,WAS,30000658,4800,3.634965352,0.09979211087,0.5204184435,2.683448827,-0.1996828358,1.312899787,0.8571428571,0.2965778252,0.2965778252,0,0,0,0,5/7/2018,8608,339745
D,Olli Maatta,8.287237288,2.24,3700,PIT,WAS,30000659,3400,2.483813559,0.0493220339,0.2794915254,2.063898305,"",1.322033898,0.2711864407,0.08389830508,0.08389830508,0,0,0,0,5/7/2018,42862,659868
C,Evgeni Malkin,14.69125223,1.75,8400,PIT,WAS,30000660,6700,4.353239262,0.4416886693,0.5318961133,2.75186087,0.172584585,0.3249011858,0.9636363636,0.426,0.426,0,0,0,0,5/7/2018,8595,268144
W,Daniel Sprong,4.070763158,1.36,3000,PIT,WAS,30000663,2800,1.221858553,0.01914473684,0.07179276316,0.7587828947,0.08059210526,1.282894737,0,0,0,0,0,0,0,5/7/2018,66675,878167
D,Jamie Oleksiak,5.324173684,1.52,3500,PIT,WAS,30000758,3100,1.560273392,0.05785964912,0.1388347953,0.8687105263,0.05845614035,1.327339181,1.111111111,0.011,0.011,0,0,0,0,5/7/2018,15293,600110
C,Riley Sheahan,6.003602995,1.82,3300,PIT,WAS,30000854,3000,1.715975499,0.07569872958,0.2211547187,1.025934664,0.1018239564,1.050136116,0.1034482759,0.008534482759,0.008534482759,0,0,0,0,5/7/2018,21921,550771
